X,DATE,EXERCISE,CATEGORY,WEIGHT,REPS,SET_NUM,SOURCE,BIG_FOUR,VOLUME,IMPLEMENT,ASSISTED,MOVEMENT
1563,2015-01-15,Seated Dip Machine,Triceps,40.5,5.0,4,FitNotes,Other,202.5,Machine,FALSE,Push
1564,2015-01-15,Seated Machine Fly,Chest,31.5,10.0,1,FitNotes,Other,315.0,Machine,FALSE,NA
1565,2015-01-15,Seated Machine Fly,Chest,40.5,10.0,2,FitNotes,Other,405.0,Machine,FALSE,NA
1566,2015-01-16,Leg Extension Machine,Legs,22.5,15.0,1,FitNotes,Other,337.5,Machine,FALSE,NA
1567,2015-01-16,Leg Extension Machine,Legs,20.0,15.0,2,FitNotes,Other,300.0,Machine,FALSE,NA
1568,2015-01-16,Lying Leg Curl Machine,Legs,25.0,15.0,1,FitNotes,Other,375.0,Machine,FALSE,NA
1569,2015-01-16,Lying Leg Curl Machine,Legs,30.0,15.0,2,FitNotes,Other,450.0,Machine,FALSE,NA
1570,2015-01-16,Lying Leg Curl Machine,Legs,25.0,15.0,3,FitNotes,Other,375.0,Machine,FALSE,NA
1571,2015-01-16,Lying Leg Curl Machine,Legs,25.0,15.0,4,FitNotes,Other,375.0,Machine,FALSE,NA
1572,2015-01-16,Lying Leg Curl Machine,Legs,25.0,15.0,5,FitNotes,Other,375.0,Machine,FALSE,NA
1573,2015-01-16,Lying Leg Curl Machine,Legs,25.0,15.0,6,FitNotes,Other,375.0,Machine,FALSE,NA
1574,2015-01-16,Lying Leg Curl Machine,Legs,25.0,15.0,7,FitNotes,Other,375.0,Machine,FALSE,NA
1575,2015-01-16,Lying Leg Curl Machine,Legs,25.0,15.0,8,FitNotes,Other,375.0,Machine,FALSE,NA
1576,2015-01-16,Lying Leg Curl Machine,Legs,25.0,15.0,9,FitNotes,Other,375.0,Machine,FALSE,NA
1577,2015-01-16,Lying Leg Curl Machine,Legs,25.0,15.0,10,FitNotes,Other,375.0,Machine,FALSE,NA
1578,2015-01-16,Barbell Squat,Legs,20.0,10.0,1,FitNotes,Squat,200.0,Barbell,FALSE,Squat
1579,2015-01-16,Barbell Squat,Legs,60.0,10.0,2,FitNotes,Squat,600.0,Barbell,FALSE,Squat
1580,2015-01-16,Barbell Squat,Legs,70.0,10.0,3,FitNotes,Squat,700.0,Barbell,FALSE,Squat
1581,2015-01-16,Barbell Squat,Legs,80.0,5.0,4,FitNotes,Squat,400.0,Barbell,FALSE,Squat
1582,2015-01-16,Barbell Squat,Legs,90.0,5.0,5,FitNotes,Squat,450.0,Barbell,FALSE,Squat
1583,2015-01-16,Barbell Squat,Legs,100.0,5.0,6,FitNotes,Squat,500.0,Barbell,FALSE,Squat
1584,2015-01-16,Barbell Squat,Legs,100.0,3.0,7,FitNotes,Squat,300.0,Barbell,FALSE,Squat
1585,2015-01-16,Barbell Squat,Legs,100.0,5.0,8,FitNotes,Squat,500.0,Barbell,FALSE,Squat
1586,2015-01-16,Barbell Squat,Legs,100.0,3.0,9,FitNotes,Squat,300.0,Barbell,FALSE,Squat
1587,2015-01-16,Barbell Squat,Legs,90.0,5.0,10,FitNotes,Squat,450.0,Barbell,FALSE,Squat
1588,2015-01-16,Overhead Press,Shoulders,60.0,3.0,1,FitNotes,Overhead Press,180.0,NA,FALSE,Push
1589,2015-01-17,Cable Face Pull,Shoulders,22.5,15.0,1,FitNotes,Other,337.5,Cable,FALSE,Pull
1590,2015-01-17,Cable Face Pull,Shoulders,25.0,15.0,2,FitNotes,Other,375.0,Cable,FALSE,Pull
1591,2015-01-17,Flat Barbell Bench Press,Chest,20.0,10.0,1,FitNotes,Bench Press,200.0,Barbell,FALSE,Push
1592,2015-01-17,Flat Barbell Bench Press,Chest,50.0,10.0,2,FitNotes,Bench Press,500.0,Barbell,FALSE,Push
1593,2015-01-17,Flat Barbell Bench Press,Chest,60.0,12.0,3,FitNotes,Bench Press,720.0,Barbell,FALSE,Push
1594,2015-01-17,Flat Barbell Bench Press,Chest,65.0,5.0,4,FitNotes,Bench Press,325.0,Barbell,FALSE,Push
1595,2015-01-17,Flat Barbell Bench Press,Chest,70.0,9.0,5,FitNotes,Bench Press,630.0,Barbell,FALSE,Push
1596,2015-01-17,Flat Barbell Bench Press,Chest,60.0,8.0,6,FitNotes,Bench Press,480.0,Barbell,FALSE,Push
1597,2015-01-17,Overhead Press,Shoulders,30.0,10.0,1,FitNotes,Overhead Press,300.0,NA,FALSE,Push
