"","DATE","EXERCISE","CATEGORY","WEIGHT","REPS","SET_NUM","SOURCE"
"241",2014-08-26,"Batwing Row","Back","7.5","10",2,"FitNotes"
"242",2014-08-26,"Batwing Row","Back","7.5","10",3,"FitNotes"
"243",2014-08-29,"Push Press","Shoulders","20.0","10",1,"FitNotes"
"244",2014-08-29,"Push Press","Shoulders","35.0","5",2,"FitNotes"
"245",2014-08-29,"Push Press","Shoulders","40.0","5",3,"FitNotes"
"246",2014-08-29,"Push Press","Shoulders","45.0","12",4,"FitNotes"
"247",2014-08-29,"Push Press","Shoulders","40.0","10",5,"FitNotes"
"248",2014-08-29,"Flat Dumbbell Bench Press","Chest","17.5","10",1,"FitNotes"
"249",2014-08-29,"Flat Dumbbell Bench Press","Chest","20.0","10",2,"FitNotes"
"250",2014-08-29,"Flat Dumbbell Bench Press","Chest","20.0","10",3,"FitNotes"
"251",2014-08-29,"Flat Dumbbell Fly","Chest","10.0","10",1,"FitNotes"
"252",2014-08-29,"Flat Dumbbell Fly","Chest","10.0","10",2,"FitNotes"
"253",2014-08-29,"Flat Dumbbell Fly","Chest","10.0","10",3,"FitNotes"
"254",2014-08-29,"Rope Push Down","Triceps","40.0","10",1,"FitNotes"
"255",2014-08-29,"Rope Push Down","Triceps","45.0","10",2,"FitNotes"
"256",2014-08-29,"Rope Push Down","Triceps","45.0","10",3,"FitNotes"
"257",2014-08-29,"Cable Crossover","Chest","15.0","10",1,"FitNotes"
"258",2014-08-29,"Cable Crossover","Chest","20.0","10",2,"FitNotes"
"259",2014-08-29,"Cable Crossover","Chest","25.0","10",3,"FitNotes"
"260",2014-08-29,"Shoulder Press Machine","Shoulders","22.5","10",1,"FitNotes"
"261",2014-08-29,"Shoulder Press Machine","Shoulders","40.5","10",2,"FitNotes"
"262",2014-08-29,"Snatch-Grip Behind The Neck Press","Shoulders","20.0","10",1,"FitNotes"
"263",2014-08-29,"Snatch-Grip Behind The Neck Press","Shoulders","20.0","10",2,"FitNotes"
"264",2014-08-29,"Snatch-Grip Behind The Neck Press","Shoulders","20.0","10",3,"FitNotes"
"265",2014-08-29,"Muscle Snatch","Shoulders","20.0","5",1,"FitNotes"
"266",2014-08-29,"Muscle Snatch","Shoulders","30.0","5",2,"FitNotes"
"267",2014-08-31,"Trap-Bar Deadlift","Back","140.0","8",1,"FitNotes"
"268",2014-08-31,"Trap-Bar Deadlift","Back","120.0","5",2,"FitNotes"
"269",2014-08-31,"Trap-Bar Deadlift","Back","100.0","5",3,"FitNotes"
"270",2014-08-31,"Trap-Bar Deadlift","Back","60.0","10",4,"FitNotes"
"271",2014-08-31,"Trap-Bar Deadlift","Back","180.0","1",5,"FitNotes"
"272",2014-08-31,"Trap-Bar Deadlift","Back","200.0","1",6,"FitNotes"
"273",2014-08-31,"Seated Cable Row","Back","45.0","10",1,"FitNotes"
"274",2014-08-31,"Seated Cable Row","Back","55.0","10",2,"FitNotes"
"275",2014-08-31,"Seated Cable Row","Back","65.0","10",3,"FitNotes"
"276",2014-08-31,"Lat Pulldown","Back","55.0","8",1,"FitNotes"
"277",2014-08-31,"Lat Pulldown","Back","55.0","5",2,"FitNotes"
"278",2014-08-31,"Lat Pulldown","Back","60.0","5",3,"FitNotes"
"279",2014-08-31,"Leg Press","Legs","100.0","5",1,"FitNotes"
"280",2014-08-31,"Leg Press","Legs","130.0","5",2,"FitNotes"
"281",2014-08-31,"Leg Press","Legs","150.0","5",3,"FitNotes"
"282",2014-08-31,"Leg Press","Legs","170.0","5",4,"FitNotes"
"283",2014-08-31,"Leg Press","Legs","190.0","3",5,"FitNotes"
"284",2014-08-31,"Leg Press","Legs","200.0","3",6,"FitNotes"
"285",2014-09-02,"Flat Barbell Bench Press","Chest","20.0","5",1,"FitNotes"
"286",2014-09-02,"Flat Barbell Bench Press","Chest","45.0","5",2,"FitNotes"
"287",2014-09-02,"Flat Barbell Bench Press","Chest","55.0","5",3,"FitNotes"
"288",2014-09-02,"Flat Barbell Bench Press","Chest","60.0","12",4,"FitNotes"
"289",2014-09-02,"Flat Barbell Bench Press","Chest","65.0","3",5,"FitNotes"
"290",2014-09-02,"Flat Barbell Bench Press","Chest","70.0","2",6,"FitNotes"
"291",2014-09-02,"Flat Barbell Bench Press","Chest","75.0","1",7,"FitNotes"
"292",2014-09-02,"Flat Barbell Bench Press","Chest","80.0","1",8,"FitNotes"
"293",2014-09-02,"Standing Cable Fly","Chest","20.0","12",1,"FitNotes"
"294",2014-09-02,"Standing Cable Fly","Chest","20.0","12",2,"FitNotes"
"295",2014-09-02,"Cable Crossover","Chest","20.0","12",1,"FitNotes"
"296",2014-09-02,"Cable Crossover","Chest","25.0","12",2,"FitNotes"
"297",2014-09-02,"Reverse Cable Fly","Shoulders","10.0","12",1,"FitNotes"
"298",2014-09-02,"Reverse Cable Fly","Shoulders","10.0","12",2,"FitNotes"
"299",2014-09-02,"Reverse Cable Fly","Shoulders","10.0","12",3,"FitNotes"
"300",2014-09-02,"Rope Push Down","Triceps","30.0","20",1,"FitNotes"
"301",2014-09-02,"Rope Push Down","Triceps","30.0","20",2,"FitNotes"
"302",2014-09-02,"Rope Push Down","Triceps","30.0","20",3,"FitNotes"
