"Date","Exercise","Category","Weight (kgs)","Reps","Distance","Distance Unit","Time"
2014-09-05,Cable Overhead Triceps Extension,Triceps,17.5,10,,,
2014-09-05,Cable Overhead Triceps Extension,Triceps,20.0,10,,,
2014-09-05,Flat Dumbbell Fly,Chest,10.0,10,,,
2014-09-05,Flat Dumbbell Fly,Chest,12.5,10,,,
2014-09-05,Flat Dumbbell Fly,Chest,12.5,10,,,
2014-09-05,Cable Crossover,Chest,25.0,12,,,
2014-09-05,Cable Crossover,Chest,25.0,12,,,
2014-09-05,Cable Crossover,Chest,30.0,8,,,
2014-09-05,Front Plate Raise,Shoulders,10.0,10,,,
2014-09-05,Front Plate Raise,Shoulders,10.0,10,,,
2014-09-05,Front Plate Raise,Shoulders,10.0,10,,,
2014-09-05,Push Press,Shoulders,55.0,3,,,
2014-09-07,Trap-Bar Deadlift,Back,100.0,5,,,
2014-09-07,Trap-Bar Deadlift,Back,130.0,3,,,
2014-09-07,Trap-Bar Deadlift,Back,150.0,5,,,
2014-09-07,Trap-Bar Deadlift,Back,180.0,1,,,
2014-09-07,Trap-Bar Deadlift,Back,20.25,1,,,
2014-09-07,Flat Barbell Bench Press,Chest,45.0,10,,,
2014-09-07,Flat Barbell Bench Press,Chest,55.0,5,,,
2014-09-07,Flat Barbell Bench Press,Chest,65.0,5,,,
2014-09-07,Flat Barbell Bench Press,Chest,65.0,8,,,
2014-09-07,Flat Barbell Bench Press,Chest,70.0,3,,,
2014-09-07,Flat Barbell Bench Press,Chest,72.5,3,,,
2014-09-07,Kroc Row,Back,25.0,15,,,
2014-09-07,Kroc Row,Back,30.0,10,,,
2014-09-07,Standing Cable Fly,Chest,20.0,10,,,
2014-09-07,Standing Cable Fly,Chest,25.0,10,,,
2014-09-07,Cable Crossover,Chest,25.0,15,,,
2014-09-07,Rope Push Down,Triceps,30.0,10,,,
2014-09-07,Rope Push Down,Triceps,35.0,10,,,
2014-09-07,Rope Push Down,Triceps,40.0,10,,,
2014-09-07,Rope Push Down,Triceps,45.0,9,,,
2014-09-07,Leg Press,Legs,150.0,5,,,
2014-09-07,Leg Press,Legs,150.0,10,,,
